image_idx,label,pred,result,l1_cycles,l2_cycles,total_cycles
0,7,7,1,3178,86,3264
1,2,2,1,3178,86,3264
2,1,1,1,3178,86,3264
3,0,0,1,3178,86,3264
4,4,4,1,3178,86,3264
5,1,1,1,3178,86,3264
6,4,4,1,3178,86,3264
7,9,9,1,3178,86,3264
8,5,6,0,3178,86,3264
9,9,9,1,3178,86,3264
10,0,0,1,3178,86,3264
11,6,6,1,3178,86,3264
12,9,9,1,3178,86,3264
13,0,0,1,3178,86,3264
14,1,1,1,3178,86,3264
15,5,5,1,3178,86,3264
16,9,9,1,3178,86,3264
17,7,7,1,3178,86,3264
18,3,3,1,3178,86,3264
19,4,4,1,3178,86,3264
20,9,9,1,3178,86,3264
21,6,6,1,3178,86,3264
22,6,6,1,3178,86,3264
23,5,5,1,3178,86,3264
24,4,4,1,3178,86,3264
25,0,0,1,3178,86,3264
26,7,7,1,3178,86,3264
27,4,4,1,3178,86,3264
28,0,0,1,3178,86,3264
29,1,1,1,3178,86,3264
30,3,3,1,3178,86,3264
31,1,1,1,3178,86,3264
32,3,3,1,3178,86,3264
33,4,4,1,3178,86,3264
34,7,7,1,3178,86,3264
35,2,2,1,3178,86,3264
36,7,7,1,3178,86,3264
37,1,1,1,3178,86,3264
38,2,2,1,3178,86,3264
39,1,1,1,3178,86,3264
40,1,1,1,3178,86,3264
41,7,7,1,3178,86,3264
42,4,4,1,3178,86,3264
43,2,2,1,3178,86,3264
44,3,3,1,3178,86,3264
45,5,5,1,3178,86,3264
46,1,1,1,3178,86,3264
47,2,2,1,3178,86,3264
48,4,4,1,3178,86,3264
49,4,4,1,3178,86,3264
50,6,6,1,3178,86,3264
51,3,3,1,3178,86,3264
52,5,5,1,3178,86,3264
53,5,5,1,3178,86,3264
54,6,6,1,3178,86,3264
55,0,0,1,3178,86,3264
56,4,4,1,3178,86,3264
57,1,1,1,3178,86,3264
58,9,9,1,3178,86,3264
59,5,5,1,3178,86,3264
60,7,7,1,3178,86,3264
61,8,8,1,3178,86,3264
62,9,9,1,3178,86,3264
63,3,3,1,3178,86,3264
64,7,7,1,3178,86,3264
65,4,4,1,3178,86,3264
66,6,6,1,3178,86,3264
67,4,4,1,3178,86,3264
68,3,3,1,3178,86,3264
69,0,0,1,3178,86,3264
70,7,7,1,3178,86,3264
71,0,0,1,3178,86,3264
72,2,2,1,3178,86,3264
73,9,9,1,3178,86,3264
74,1,1,1,3178,86,3264
75,7,7,1,3178,86,3264
76,3,3,1,3178,86,3264
77,2,2,1,3178,86,3264
78,9,9,1,3178,86,3264
79,7,7,1,3178,86,3264
80,7,7,1,3178,86,3264
81,6,6,1,3178,86,3264
82,2,2,1,3178,86,3264
83,7,7,1,3178,86,3264
84,8,8,1,3178,86,3264
85,4,4,1,3178,86,3264
86,7,7,1,3178,86,3264
87,3,5,0,3178,86,3264
88,6,6,1,3178,86,3264
89,1,1,1,3178,86,3264
90,3,3,1,3178,86,3264
91,6,6,1,3178,86,3264
92,9,9,1,3178,86,3264
93,3,3,1,3178,86,3264
94,1,1,1,3178,86,3264
95,4,4,1,3178,86,3264
96,1,1,1,3178,86,3264
97,7,7,1,3178,86,3264
98,6,6,1,3178,86,3264
99,9,9,1,3178,86,3264
100,6,6,1,3178,86,3264
101,0,0,1,3178,86,3264
102,5,5,1,3178,86,3264
103,4,4,1,3178,86,3264
104,9,9,1,3178,86,3264
105,9,9,1,3178,86,3264
106,2,2,1,3178,86,3264
107,1,1,1,3178,86,3264
108,9,9,1,3178,86,3264
109,4,4,1,3178,86,3264
110,8,8,1,3178,86,3264
111,7,7,1,3178,86,3264
112,3,3,1,3178,86,3264
113,9,9,1,3178,86,3264
114,7,7,1,3178,86,3264
115,4,4,1,3178,86,3264
116,4,4,1,3178,86,3264
117,4,4,1,3178,86,3264
118,9,9,1,3178,86,3264
119,2,2,1,3178,86,3264
120,5,5,1,3178,86,3264
121,4,4,1,3178,86,3264
122,7,7,1,3178,86,3264
123,6,6,1,3178,86,3264
124,7,7,1,3178,86,3264
125,9,9,1,3178,86,3264
126,0,0,1,3178,86,3264
127,5,5,1,3178,86,3264
128,8,8,1,3178,86,3264
129,5,5,1,3178,86,3264
130,6,6,1,3178,86,3264
131,6,6,1,3178,86,3264
132,5,5,1,3178,86,3264
133,7,7,1,3178,86,3264
134,8,8,1,3178,86,3264
135,1,1,1,3178,86,3264
136,0,0,1,3178,86,3264
137,1,1,1,3178,86,3264
138,6,6,1,3178,86,3264
139,4,4,1,3178,86,3264
140,6,6,1,3178,86,3264
141,7,7,1,3178,86,3264
142,3,3,1,3178,86,3264
143,1,1,1,3178,86,3264
144,7,7,1,3178,86,3264
145,1,1,1,3178,86,3264
146,8,8,1,3178,86,3264
147,2,2,1,3178,86,3264
148,0,0,1,3178,86,3264
149,2,9,0,3178,86,3264
150,9,9,1,3178,86,3264
151,9,9,1,3178,86,3264
152,5,5,1,3178,86,3264
153,5,5,1,3178,86,3264
154,1,1,1,3178,86,3264
155,5,5,1,3178,86,3264
156,6,6,1,3178,86,3264
157,0,0,1,3178,86,3264
158,3,3,1,3178,86,3264
159,4,4,1,3178,86,3264
160,4,4,1,3178,86,3264
161,6,6,1,3178,86,3264
162,5,5,1,3178,86,3264
163,4,4,1,3178,86,3264
164,6,6,1,3178,86,3264
165,5,5,1,3178,86,3264
166,4,4,1,3178,86,3264
167,5,5,1,3178,86,3264
168,1,1,1,3178,86,3264
169,4,4,1,3178,86,3264
170,4,4,1,3178,86,3264
171,7,7,1,3178,86,3264
172,2,2,1,3178,86,3264
173,3,3,1,3178,86,3264
174,2,2,1,3178,86,3264
175,7,7,1,3178,86,3264
176,1,1,1,3178,86,3264
177,8,8,1,3178,86,3264
178,1,1,1,3178,86,3264
179,8,8,1,3178,86,3264
180,1,1,1,3178,86,3264
181,8,8,1,3178,86,3264
182,5,5,1,3178,86,3264
183,0,0,1,3178,86,3264
184,8,8,1,3178,86,3264
185,9,9,1,3178,86,3264
186,2,2,1,3178,86,3264
187,5,5,1,3178,86,3264
188,0,0,1,3178,86,3264
189,1,1,1,3178,86,3264
190,1,1,1,3178,86,3264
191,1,1,1,3178,86,3264
192,0,0,1,3178,86,3264
193,9,9,1,3178,86,3264
194,0,0,1,3178,86,3264
195,3,3,1,3178,86,3264
196,1,1,1,3178,86,3264
197,6,6,1,3178,86,3264
198,4,4,1,3178,86,3264
199,2,2,1,3178,86,3264
200,3,3,1,3178,86,3264
201,6,6,1,3178,86,3264
202,1,1,1,3178,86,3264
203,1,1,1,3178,86,3264
204,1,1,1,3178,86,3264
205,3,3,1,3178,86,3264
206,9,9,1,3178,86,3264
207,5,5,1,3178,86,3264
208,2,2,1,3178,86,3264
209,9,9,1,3178,86,3264
210,4,4,1,3178,86,3264
211,5,5,1,3178,86,3264
212,9,9,1,3178,86,3264
213,3,3,1,3178,86,3264
214,9,9,1,3178,86,3264
215,0,0,1,3178,86,3264
216,3,3,1,3178,86,3264
217,6,6,1,3178,86,3264
218,5,5,1,3178,86,3264
219,5,5,1,3178,86,3264
220,7,7,1,3178,86,3264
221,2,2,1,3178,86,3264
222,2,2,1,3178,86,3264
223,7,7,1,3178,86,3264
224,1,1,1,3178,86,3264
225,2,2,1,3178,86,3264
226,8,8,1,3178,86,3264
227,4,4,1,3178,86,3264
228,1,1,1,3178,86,3264
229,7,7,1,3178,86,3264
230,3,3,1,3178,86,3264
231,3,3,1,3178,86,3264
232,8,8,1,3178,86,3264
233,8,7,0,3178,86,3264
234,7,7,1,3178,86,3264
235,9,9,1,3178,86,3264
236,2,2,1,3178,86,3264
237,2,2,1,3178,86,3264
238,4,4,1,3178,86,3264
239,1,1,1,3178,86,3264
240,5,5,1,3178,86,3264
241,9,8,0,3178,86,3264
242,8,8,1,3178,86,3264
243,7,7,1,3178,86,3264
244,2,2,1,3178,86,3264
245,3,3,1,3178,86,3264
246,0,0,1,3178,86,3264
